COINTRIG_cut,COINTRIG_scaler,COIN_PS,CPULT_TLT_HMS,CPULT_TLT_SHMS,CPULT_phys,CPULT_scaler,CPULT_scaler_uncern,CoinBlocking_Corr,CoinBlocking_Inside,CoinBlocking_Total,ELT2_HMS,ELT2_SHMS,HMS3of4ELT,HMS3of4ELT_err,HMSTRIG_cut,HMSTRIG_scaler,HMS_3-4Trig_scaler,HMS_PS,HMS_eLT_scaler,HMS_eLT_scaler_uncern,HMS_scaler_accp,HMS_track,HMS_track_uncern,PS1,PS2,PS3,PS4,PS5,PS6,SHMS3of4ELT,SHMS3of4ELT_err,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_3-4Trig_scaler,SHMS_PS,SHMS_eLT_scaler,SHMS_eLT_scaler_uncern,SHMS_scaler_accp,SHMS_track,SHMS_track_uncern,TLT,TLT_ELT,TLT_ELT_HMS,TLT_ELT_SHMS,Uncer_CoinBlocking_Corr,accp_edtm,boilingCorr,c_int_Track_Rand_events,c_int_Track_events,c_int_noTrack_Rand_events,c_int_noTrack_events,charge,curr_corr,current,hTLT,h_int_etotnorm_evts,h_int_etottracknorm_evts,haccp_edtm,min_yield_COIN_notrack,min_yield_COIN_scaler,min_yield_COIN_track,min_yield_HMS_CPULT_notrack,min_yield_HMS_CPULT_track,min_yield_HMS_notrack,min_yield_HMS_scaler,min_yield_HMS_track,min_yield_SHMS_CPULT_notrack,min_yield_SHMS_CPULT_track,min_yield_SHMS_notrack,min_yield_SHMS_scaler,min_yield_SHMS_track,pTLT,p_int_etotnorm_evts,p_int_etottracknorm_evts,paccp_edtm,rateCOINCorr,rateCOINCorrUncer,rateHMSCorr,rateSHMSCorr,rate_COIN,rate_HMS,rate_HMS3-4,rate_SHMS,rate_SHMS3-4,rate_TOTAL,run number,sent_edtm,sent_edtm_HMS,sent_edtm_PS,sent_edtm_SHMS,time,tot_events,uncer_boilingCorr,uncer_rateHMSCorr,uncer_rateSHMSCorr,uncern_COIN_evts_notrack,uncern_COIN_evts_scaler,uncern_COIN_evts_track,uncern_CPULT_phys,uncern_ELT2_HMS,uncern_HMS3-4_evts_scaler,uncern_HMS_evts_notrack,uncern_HMS_evts_scaler,uncern_HMS_evts_track,uncern_SHMS3-4_evts_scaler,uncern_SHMS_evts_notrack,uncern_SHMS_evts_scaler,uncern_SHMS_evts_track,uncern_TLT,uncern_TLT_ELT,uncern_TLT_ELT_HMS,uncern_TLT_ELT_SHMS,uncern_charge,uncern_yieldRel_COIN_notrack,uncern_yieldRel_COIN_scaler,uncern_yieldRel_COIN_track,uncern_yieldRel_HMS_CPULT_notrack,uncern_yieldRel_HMS_CPULT_track,uncern_yieldRel_HMS_notrack,uncern_yieldRel_HMS_scaler,uncern_yieldRel_HMS_track,uncern_yieldRel_SHMS_CPULT_notrack,uncern_yieldRel_SHMS_CPULT_track,uncern_yieldRel_SHMS_notrack,uncern_yieldRel_SHMS_scaler,uncern_yieldRel_SHMS_track,yieldRel_COIN_notrack,yieldRel_COIN_scaler,yieldRel_COIN_track,yieldRel_HMS_CPULT_notrack,yieldRel_HMS_CPULT_track,yieldRel_HMS_notrack,yieldRel_HMS_scaler,yieldRel_HMS_track,yieldRel_SHMS_CPULT_notrack,yieldRel_SHMS_CPULT_track,yieldRel_SHMS_notrack,yieldRel_SHMS_scaler,yieldRel_SHMS_track,yield_COIN_notrack,yield_COIN_scaler,yield_COIN_track,yield_HMS_CPULT_notrack,yield_HMS_CPULT_track,yield_HMS_notrack,yield_HMS_scaler,yield_HMS_track,yield_SHMS_CPULT_notrack,yield_SHMS_CPULT_track,yield_SHMS_notrack,yield_SHMS_scaler,yield_SHMS_track
1931117,1054527,1,0.9223111683388765,0.9356560729268404,0.976036195647368,0.976036195647368,8.77727111134795e-05,0.969463230500319,792574,817539,0.9990005015240534,0.9639304409452463,0.999633159517034,4.29267532639515e-20,48396,21072617,39617739,17,0.960512556956435,0.00156264882068,21061061,0.9973,0.0001,1025,,,17,1,,0.985375774220543,1.8129016461389502e-20,,760461393,760461393,1025,0.960512556956435,0.00156264882068,760449837,0.9938,0.0004,0.8998788508134302,0.9320512649504965,0.9756781460579644,0.9617624219532986,0.00019029307177076158,10399,0.9807598833087183,48094,30375,110595,63358,79650.8953982863,1.00036395557269,68.68970246886325,6.032969885773624,1434741,1434741,4101,0.6349031702532268,4.878381447133018,0.32663293081190453,188.0759123156337,188.47170289170626,189.78561993785527,269.1315385045329,190.18500845561204,653.1418609667145,587.8771138311531,663.0594868743547,10077.060202180926,596.8037278534285,229.0195569401177,131379,117760,2582,1,,0.999633159517034,0.985375774220543,909.4078040576729,18172.699562664955,34165.726459085476,655810.1646318862,655810.1646318862,674892.2719986087,12218,11556,679.7647058823529,11556,11.274146341463414,1159.57549,2974583,1.1336826515365658e-05,4.29267532639515e-20,1.8129016461389502e-20,2.2924840949121933e-05,0.0009738030895345148,5.505868848165463e-05,8.77727111134795e-05,2.0009969452903975e-05,0.00015887485116921338,0.0008348592154831121,0.00021784157238559143,0.0008348592154831121,3.626280667225258e-05,0.0027589067647365104,3.626280667225258e-05,0.0029140775257509802,0.008824805957671537,4.6615598720512876e-08,8.086995082643137e-09,8.086995082643137e-09,109.78799996042649,0.0036446305660797172,0.001378364918705148,0.0036681587735015674,0.0009226319265965916,0.0010226319265965915,0.0037390268617488545,0.003644800641189972,0.003740363869047968,0.004225044394554829,0.004625044394554829,0.00457109379686211,0.003639469110247514,0.004588561702724641,0.9714808245021825,2.683167470759282,0.948250063224231,1.6675337494530444,1.6685369784209296,1.7304961206261766,1.0027620764305407,1.7315372292919504,2.6511095675109946,2.656571417577667,2.8297251343599243,1.0166647150964274,2.835554970517273,0.6167962553166544,13.089514408902904,0.30972969729350436,313.6229312454907,314.47200566077476,328.42327905309253,269.8749003837514,329.31242259409663,1731.5506365507927,1561.737537651894,1876.2760955841557,10244.99153945982,1692.2697769380272
1942926,1064160,1,0.9159744351548783,0.9291796942607453,0.978123093885914,0.978123093885914,8.35098758153164e-05,0.969564774208267,798997,824078,0.9990017254078768,0.9640059892545614,0.999635398990634,4.22074159388499e-20,47967,21321008,40086066,17,0.960603398414967,0.00155658915316,21309302,0.9974,0.0001,1025,,,17,1,,0.985428841812724,1.76792763525207e-20,,768755007,768755007,1025,0.960603398414967,0.00155658915316,768743301,0.9931,0.0004,0.8956090893558859,0.9341943525044442,0.977766469218599,0.9638707075582746,0.00018923110185993197,10484,0.9808065884533727,48666,30707,111273,63819,80492.6321724021,1.00036484154335,68.52289838081208,6.022467110883308,1448358,1448358,4147,0.6349031702532268,4.878381447133018,0.32663293081190453,188.0759123156337,188.47170289170626,189.78561993785527,269.1315385045329,190.18500845561204,653.1418609667145,587.8771138311531,663.0594868743547,10077.060202180926,596.8037278534285,228.27396207073298,132261,118686,2607,1,,0.999635398990634,0.985428841812724,905.9130702142237,18150.4471295125,34125.02924641971,654436.5590079753,654436.5590079753,673492.919207702,12219,11706,688.5882352941177,11706,11.420487804878048,1174.682246,3004161,1.1281853308303402e-05,4.22074159388499e-20,1.76792763525207e-20,2.2794330600788e-05,0.0009693855345213105,5.438308021438014e-05,8.35098758153164e-05,1.9985442802225895e-05,0.00015794405415034114,0.0008309254075024078,0.00021656892133207535,0.0008309254075024078,3.6066667932705554e-05,0.0027496923094602783,3.6066667932705554e-05,0.002902687303701163,0.00874725121505699,4.538113724369471e-08,7.28934742254024e-09,7.28934742254024e-09,110.94822116156146,0.0036369113710294477,0.0013783649281583026,0.0036605201254884317,0.0009144352833177242,0.0010144352833177243,0.003730624793993118,0.0036371753737055898,0.003731964811403799,0.004211567113433596,0.004611567113433596,0.004559378479291681,0.003631806422067934,0.004576891097396586,0.9664990096901772,2.679247403579196,0.9466165461722972,1.6622012503077734,1.6630345174274384,1.724684873510017,1.0039193876173371,1.7255494638817388,2.6353608262260986,2.6456705400816083,2.812177594886183,1.01682113861595,2.8231790281721403,0.6136332852988977,13.07039082590006,0.3091961368313,312.6200166038215,313.43494746723627,327.3203879165401,270.18636932398243,328.1736393789253,1721.2644743600922,1555.329161251284,1864.6410330647893,10246.567828683084,1684.883768410753
1164141,640770,1,0.9197957657446089,0.9331018716262333,0.977012671560313,0.977012671560313,0.0001103021469,0.969303555080404,479624,494813,0.9990007033871992,0.9639535595726826,0.999632603535678,1.1761995364316501e-19,28513,12818982,24111196,17,0.960521298954279,0.001769396865585,12811950,0.9973,0.0001,1025,,,17,1,,0.985377764198374,4.8967815180316705e-20,,462403920,462403920,1025,0.960521298954279,0.001769396865585,462396888,0.9934,0.0005,0.8983219567690558,0.9328314340850151,0.9766537205591839,0.9627265618955815,0.00024521859101306386,6317,0.9807711539070215,29036,18618,66923,38588,48434.952271833,1.00036416897556,68.64945033206595,5.959186575654153,870422,870422,2465,0.6349031702532268,4.878381447133018,0.32663293081190453,188.0759123156337,188.47170289170626,189.78561993785527,269.1315385045329,190.18500845561204,653.1418609667145,587.8771138311531,663.0594868743547,10077.060202180926,596.8037278534285,227.5348407281001,80048,71683,1561,1,,0.999632603535678,0.985377764198374,908.1976181663155,18169.02932365259,34174.088640762195,655389.8259512266,655389.8259512266,674467.0528930455,12220,7032,413.6470588235294,7032,6.860487804878049,705.540278,1803522,1.132354848842366e-05,1.1761995364316501e-19,4.8967815180316705e-20,3.7972870273492e-05,0.001249248724715631,9.198618274987592e-05,0.0001103021469,2.0005924108214256e-05,0.00020365291148675111,0.0010718526112948362,0.0002793014762299036,0.0010718526112948362,4.650388611963962e-05,0.003534473722819512,4.650388611963962e-05,0.00373501124487522,0.011303275543796643,7.674687395711685e-08,1.274581287677889e-08,1.274581287677889e-08,66.7610505963227,0.0036469419886575954,0.0013783651570812821,0.003682875649276507,0.0011821547581948363,0.0012821547581948363,0.0038011911145024477,0.00364716993658087,0.003802506264159516,0.005023141026799415,0.005523141026799415,0.0050786504473072725,0.003638374385589063,0.005103203931446827,0.9747571215792791,2.6811245520374576,0.9605265884455724,1.6619899879779314,1.6629898816837243,1.7250246353174288,1.0031358388829263,1.726062452204214,2.653686599038597,2.6577377722332036,2.8328999687559775,1.0165704755117544,2.8372247328108533,0.6188763867175944,13.079548272112357,0.31373961470673734,312.58028324839853,313.42653489260863,327.3848698217909,269.9754916475972,328.2712020673729,1733.2338037185007,1562.4232108604942,1878.3811996497138,10244.041881491641,1693.2662972994651
2246595,746737,1,0.9285846672277879,0.9374426218399705,0.982755981358761,0.982755981358761,7.46242723805972e-05,0.975070008643042,564078,578500,0.9991919554908022,0.9706433094363773,0.999759054428896,4.4231389188159704e-20,35480,17713352,33228955,17,0.96804702657173,0.001462437544232,17701338,0.9975,0.0001,513,,,17,1,,0.990312267904652,1.8372007018500702e-20,,643535582,643535582,513,0.96804702657173,0.001462437544232,643523568,0.9938,0.0003,0.9123522557016813,0.9487439062271932,0.9825191906575766,0.9732353046962565,0.00020498745408370698,10961,0.9845855236410911,33305,24998,76111,51318,66343.9977575275,1.00045432488987,55.026701281817786,5.116697186615615,1120903,1120903,3616,0.6349031702532268,4.878381447133018,0.32663293081190453,188.0759123156337,188.47170289170626,189.78561993785527,269.1315385045329,190.18500845561204,653.1418609667145,587.8771138311531,663.0594868743547,10077.060202180926,596.8037278534285,194.45663392708505,134845,121331,4554,1,,0.999759054428896,0.990312267904652,619.3548056186978,14691.718349051369,27560.590897380815,533758.010247685,533758.010247685,549069.0834023551,12221,12014,706.7058823529412,12014,23.419103313840157,1205.669179,2990678,7.276686243632412e-06,4.4231389188159704e-20,1.8372007018500702e-20,3.627530077558665e-05,0.0011572206229742497,9.181549817303306e-05,7.46242723805972e-05,1.6173959463092197e-05,0.00017347690216451824,0.0009445304953839079,0.00023760174369389652,0.0009445304953839079,3.941973656735484e-05,0.0027232190482039307,3.941973656735484e-05,0.0028708738635051683,0.00871473029361517,4.9961922980289636e-08,5.765922858040666e-09,5.765922858040666e-09,91.44633677929237,0.0030375223580281774,0.001378366391388805,0.0030541314197213166,0.0010191547677645052,0.0011191547677645052,0.0031809872574769475,0.003038633959217751,0.003182558708371412,0.004176209711972462,0.004476209711972462,0.004079517625899076,0.0030304624812393897,0.004090533468879241,0.9814037557873704,2.269075655141235,0.9686862217348651,1.5532421818651818,1.5538650358729473,1.5944310635927723,1.00749958543288,1.595070434445341,1.6236787018322663,1.6332738057280967,1.699128448201098,1.0165913957343355,1.70916942119314,0.6230963558478251,11.069416578182198,0.3164048196423694,292.1274404014195,292.8595893748566,302.60008785212824,271.1499134702301,303.35848406228394,1060.4925289267455,960.164291007457,1126.6232369978386,10244.252695834033,1020.0386821011527
2433399,806323,1,0.9302080069878526,0.9390768147236743,0.983507750114986,0.983507750114986,7.0224325789565e-05,0.975661018791266,610435,625663,0.999192111715129,0.9706527020265348,0.999759051195382,3.7629369304046804e-20,38217,19152477,35939469,17,0.96802607911789,0.001434667631217,19139484,0.9974,0.0001,513,,,17,1,,0.990317149672333,1.5709693152005202e-20,,695731650,695731650,513,0.96802607911789,0.001434667631217,695718657,0.9938,0.0003,0.9146463480335565,0.9500498305570291,0.9832707750982633,0.9739845917745221,0.0001948186089999056,11884,0.9845876578218753,36015,26783,82258,55177,71738.0630279915,1.00045438782982,55.01907920758854,5.195643808204418,1215702,1215702,3971,0.6349031702532268,4.878381447133018,0.32663293081190453,188.0759123156337,188.47170289170626,189.78561993785527,269.1315385045329,190.18500845561204,653.1418609667145,587.8771138311531,663.0594868743547,10077.060202180926,596.8037278534285,196.38743939044102,146584,131483,4974,1,,0.999759051195382,0.990317149672333,618.4046116019376,14688.877906744623,27563.561213217134,533587.2358811856,533587.2358811856,548894.5183995322,12222,12993,764.2941176470588,12993,25.327485380116958,1303.876111,3239447,7.274671424767339e-06,3.7629369304046804e-20,1.5709693152005202e-20,3.343860951797299e-05,0.0011136416778942094,8.39757107172957e-05,7.0224325789565e-05,1.6170829921470088e-05,0.00016680696166779775,0.0009069564514464078,0.00022850069495812913,0.0009069564514464078,3.791221160625947e-05,0.002611901024282993,3.791221160625947e-05,0.002757815433294446,0.00839048699768041,4.496976808442205e-08,5.098231870518818e-09,5.098231870518818e-09,98.88133307236592,0.0030363687235477844,0.0013783663636671233,0.003052984391398348,0.0009771807772359729,0.001077180777235973,0.0031689280569553923,0.003037604207363279,0.003170505484959627,0.004060491713738989,0.004360491713738989,0.004005191878797987,0.0030300056186376703,0.004016411580750826,0.9728612386950649,2.2658501386121457,0.9560485717334439,1.556747400721095,1.5575278034685995,1.5970533543897616,1.0074417912213705,1.5978539626484292,1.6310665762090701,1.6355984785088782,1.70580517927403,1.0163898093390293,1.7105447420409554,0.617672684663978,11.053681278189268,0.31227694698383013,292.7866876356114,293.54991742090573,303.09776093669217,271.1343592251699,303.8878693971247,1065.3178589457996,961.5309129324246,1131.050306877055,10242.221297592592,1020.8594787101235
848270,276828,1,0.9362701450067705,0.9451949101361997,0.984694612686888,0.984694612686888,0.000114905178676,0.975469874142514,209886,215164,0.9992203849264308,0.9706630704326007,0.999763483236313,2.99873007766472e-19,13195,6541620,12288542,17,0.968043807457818,0.001859668770933,6537021,0.9975,0.0001,513,,,17,1,,0.990323468084752,1.2542253921912e-19,,246161281,246161281,513,0.968043807457818,0.001859668770933,246156682,0.9935,0.0005,0.9217221135029354,0.9510202491745152,0.9844617159038752,0.9751661838404505,0.0003334817057498857,4239,0.9845938849531587,12296,9322,28253,19114,25380.8116857633,1.00045457157627,54.99683945300476,5.1639486844966305,417725,417725,1397,0.6349031702532268,4.878381447133018,0.32663293081190453,188.0759123156337,188.47170289170626,189.78561993785527,269.1315385045329,190.18500845561204,653.1418609667145,587.8771138311531,663.0594868743547,10077.060202180926,596.8037278534285,197.43639921722112,51255,46035,1770,1,,0.999763483236313,0.990323468084752,599.8494161885405,14174.819519439076,26627.634287385525,533398.7194072611,533398.7194072611,548173.3883428887,12223,4599,270.52941176470586,4599,8.964912280701755,461.495823,1128517,7.268794163282777e-06,2.99873007766472e-19,1.2542253921912e-19,9.796716161413553e-05,0.0019006186760478483,0.00025182613360235685,0.000114905178676,1.560446694903172e-05,0.00028526587417265705,0.0015472296030682353,0.0003909825220604718,0.0015472296030682353,6.373678137231391e-05,0.0044170455826106885,6.373678137231391e-05,0.004660751266455191,0.014158322957529392,1.304904008368427e-07,1.3616832054331965e-08,1.3616832054331965e-08,34.98408739481146,0.0030494559655768155,0.0013783675568921564,0.0030923314568777915,0.0016621347817442353,0.0017621347817442354,0.0034195176751372876,0.0030531626417658005,0.003420979557170186,0.005910318318161746,0.006410318318161746,0.005367445702084563,0.003030834350886713,0.0053906839422123475,0.9542474622095558,2.197635958508446,0.9449376667309743,1.5100863090099295,1.5106918574045203,1.5494709639613262,0.9725159137613718,1.5500923057012606,1.6100584475052393,1.6171363749855199,1.6841247596505509,1.0164176183756808,1.6915282877243436,0.6058547389629433,10.72090648753999,0.30864775951890083,284.01086024239044,284.7226669096646,294.0673074711065,261.7347040907396,294.8043182667734,1051.5965706687512,950.6774647978608,1116.6748989662901,10242.501530929094,1009.5103878834151
1567438,512688,1,0.9272281082800202,0.9357082729027096,0.981555924550372,0.981555924550372,9.24091037484574e-05,0.975541926479815,380954,390505,0.9992097782193373,0.9712377585318043,0.999769216659597,8.879446951648891e-20,24857,12385700,23262907,17,0.968781144617872,0.001579753348178,12377108,0.9976,0.0001,513,,,17,1,,0.990708478620304,3.62828851296403e-20,,450810776,450810776,513,0.968781144617872,0.001579753348178,450802184,0.9942,0.0003,0.9099162011173184,0.9484329379243901,0.9813293977953118,0.972435776692045,0.0002471842489025346,7818,0.9849096272184206,22599,17238,51959,35667,46438.125779468,1.00046408718404,53.86918850564089,5.128491620111731,777264,777264,2592,0.6349031702532268,4.878381447133018,0.32663293081190453,188.0759123156337,188.47170289170626,189.78561993785527,269.1315385045329,190.18500845561204,653.1418609667145,587.8771138311531,663.0594868743547,10077.060202180926,596.8037278534285,194.88268156424581,93700,84070,3264,1,,0.999769216659597,0.990708478620304,594.7287073500065,14367.668739320945,26985.454329559925,522949.8448762861,522949.8448762861,537912.242322957,12233,8592,505.4117647058824,8592,16.748538011695906,862.053561,2076534,6.973905114961737e-06,8.879446951648891e-20,3.62828851296403e-20,5.3872311470226484e-05,0.0013966044573307953,0.0001381123007162165,9.24091037484574e-05,1.5816934499398358e-05,0.00020733279758851846,0.0011342681134700635,0.0002841448059488632,0.0011342681134700635,4.709804232610643e-05,0.0032668576019240056,4.709804232610643e-05,0.003448891058029152,0.010291449799741212,7.306555114341986e-08,8.863381012157218e-09,8.863381012157218e-09,64.0087694267275,0.0029911311603182974,0.0013783667698138052,0.0030079838671769215,0.001226677217218521,0.001326677217218521,0.0031989732370652467,0.0029924552650367263,0.003200535856924541,0.004737633475483576,0.005037633475483576,0.004429359345263531,0.002980697524930673,0.004439507203448755,0.9801495187283268,2.2241358414045194,0.9581788723041785,1.5406112378835692,1.5410745331636067,1.5800519145192589,1.0060639347488338,1.5805270704678913,1.613831546726266,1.618105612913186,1.6860846907445237,1.0160337882936976,1.690550111921606,0.6223000367627892,10.850183024611392,0.31297277330275947,289.75186408867006,290.4489415483862,299.87113213103265,270.76353459287765,300.59255426125964,1054.0609397155847,951.2472575933929,1117.974449871769,10238.63365208554,1008.9266089178453
1634039,414972,1,0.9481985171923959,0.9528590595591643,0.986867688642321,0.986867688642321,7.91329797964897e-05,0.981945601505911,308816,314494,0.9994234351506968,0.978856910554581,0.999876432090433,5.15852173403625e-20,29142,12697915,23777865,17,0.977195726681232,0.00133603202835,12685844,0.9977,0.0001,513,,,17,1,,0.99498592239066,2.1156163865612002e-20,,465642595,465642595,513,0.977195726681232,0.00133603202835,465630524,0.9945,0.0003,0.9356308507994366,0.9640723491600879,0.9867457434650162,0.9819194574613184,0.00023742642014381386,11294,0.9889961253355768,17236,17121,39810,34869,47572.742348677,1.00063654449229,39.27455237293969,5.676994449507084,735448,735448,4031,0.6349031702532268,4.878381447133018,0.32663293081190453,188.0759123156337,188.47170289170626,189.78561993785527,269.1315385045329,190.18500845561204,653.1418609667145,587.8771138311531,663.0594868743547,10077.060202180926,596.8037278534285,213.93770193024605,88139,78942,5034,1,,0.999876432090433,0.99498592239066,342.58776649559223,10482.997260058217,19630.25375780466,384419.8080985262,384419.8080985262,395245.39312508004,12234,12071,710.0588235294117,12071,23.530214424951268,1211.286685,2049864,3.708236015244177e-06,5.15852173403625e-20,2.1156163865612002e-20,0.0001043460431141647,0.0015523534208451576,0.001006180487440683,7.91329797964897e-05,1.1537949362100038e-05,0.00020507540197645756,0.001166068367958319,0.00028062980352911386,0.001166068367958319,4.634188013573366e-05,0.003368340138795442,4.634188013573366e-05,0.0035591470970689943,0.008804353518932153,6.489308296573882e-08,6.429795784734722e-09,6.429795784734722e-09,65.5728586786927,0.002381813172150333,0.0013783703743275538,0.0024029312053138706,0.0012452013477548085,0.0013452013477548085,0.002651933148812924,0.002384748857837736,0.0026538178961211397,0.00482584349291441,0.0051258434929144095,0.004125378682938128,0.00236992626518212,0.00413627238919783,0.9797745417941988,1.7349543131127283,0.9686359316286054,1.415057992395892,1.4153416564216306,1.4354676707858813,1.0019124530315433,1.435755426157393,1.473616541089363,1.4744860650850826,1.5100011933236575,1.0077256309083058,1.5108921864921987,0.6220619627185395,8.463768932712542,0.31638839323757095,266.1383228993864,266.75185215935295,272.4311218008476,269.6462399312298,273.0591578639347,962.4806499984394,866.8166123264722,1001.2206164248475,10154.911849943754,901.7060892831618
1602316,406787,1,0.9485953175165641,0.9532394673104185,0.987128081247245,0.987128081247245,7.90432087801881e-05,0.982729784391521,292027,297159,0.9994245380270163,0.9789007984893296,0.999877521297502,5.30844468480708e-20,28319,12486420,23382503,17,0.977268145887215,0.00133955552229,12474526,0.9977,0.0001,513,,,17,1,,0.995006152513837,2.1814363220316e-20,,457812165,457812165,513,0.977268145887215,0.00133955552229,457800271,0.9952,0.0003,0.9362703884311417,0.9651175132300022,0.9870071790806545,0.9821985141601876,0.0002389854688021702,11136,0.9890202396655566,16961,16974,39097,34537,46767.2529017006,1.0006379433968,39.18842976586918,5.647133008239448,722485,722485,3951,0.6349031702532268,4.878381447133018,0.32663293081190453,188.0759123156337,188.47170289170626,189.78561993785527,269.1315385045329,190.18500845561204,653.1418609667145,587.8771138311531,663.0594868743547,10077.060202180926,596.8037278534285,213.88658146964855,86539,77667,4959,1,,0.999877521297502,0.995006152513837,340.8655157204872,10462.944963341026,19593.273491854063,383621.84564855264,383621.84564855264,394425.65612761414,12238,11894,699.6470588235294,11894,23.185185185185187,1193.394407,2011248,3.692001070997184e-06,5.30844468480708e-20,2.1814363220316e-20,0.00010935603437002232,0.0015678931665464185,0.003011164104333044,7.90432087801881e-05,1.1515866402875786e-05,0.00020680188861666392,0.001176482800922913,0.00028299647793548165,0.001176482800922913,4.6736516126465515e-05,0.003399335766700367,4.6736516126465515e-05,0.003588242079502251,0.008872658569423231,6.55509373135427e-08,6.411831653864091e-09,6.411831653864091e-09,64.46259810908275,0.0023785409452110923,0.0013783704218169016,0.0023996611176470956,0.001255526009703101,0.001355526009703101,0.002653595449367339,0.0023816224957841203,0.0026554790168448047,0.004856749397292068,0.005156749397292068,0.004148848115176545,0.0023665033744991707,0.004159680358249173,0.9880282183472471,1.729756027971935,0.9765510687112087,1.4136836824692045,1.413967070999318,1.4328985052530145,1.0021636333137365,1.4331857456068793,1.4713953672115678,1.474227949934121,1.5064224356618316,1.0077521581064557,1.5093224489819828,0.6273022481283146,8.43840971492479,0.31897373766063963,265.87984830612027,266.4927817040396,271.94353112746956,269.71384046701843,272.57044314670696,961.0299083583657,866.6648723364888,998.8476872059497,10155.179166116506,900.7692640853136
2653369,674263,1,0.9464284946320827,0.9510600493101434,0.986977199795477,0.986977199795477,6.17269411255042e-05,0.982690852940488,504030,512908,0.9994248160766652,0.9789078471082736,0.999877106902522,1.93973431660368e-20,46989,20713558,38797141,17,0.977283154066032,0.001179898865871,20693819,0.9977,0.0001,513,,,17,1,,0.995007818685317,7.919875404470701e-21,,759571877,759571877,513,0.977283154066032,0.001179898865871,759552138,0.9952,0.0002,0.9339885505851361,0.9649329840819665,0.986855907110254,0.9820500306606399,0.00018210696404075697,18436,0.9890239533372089,27930,27763,64050,56978,77592.8150173355,1.0006381593784,39.17516665282526,5.6040832868939665,1192660,1192660,6507,0.6349031702532268,4.878381447133018,0.32663293081190453,188.0759123156337,188.47170289170626,189.78561993785527,269.1315385045329,190.18500845561204,653.1418609667145,587.8771138311531,663.0594868743547,10077.060202180926,596.8037278534285,213.81280713308678,143181,128306,8227,1,,0.999877106902522,0.995007818685317,340.42282635231777,10457.889515178296,19587.95365252044,383493.68894048035,383493.68894048035,394292.0012820109,12239,19739,1161.1176470588234,19739,38.4775828460039,1980.663304,3326214,3.689504010844603e-06,1.93973431660368e-20,7.919875404470701e-21,6.847919317291349e-05,0.001217826263407474,0.0006558030109728611,6.17269411255042e-05,1.151029900563635e-05,0.0001605462398463071,0.0009156756660761308,0.00021972154675753628,0.0009156756660761308,3.628403370131179e-05,0.002642757441319973,3.628403370131179e-05,0.002791749950268988,0.006878891781196381,3.825292899939132e-08,3.911427383392195e-09,3.911427383392195e-09,106.9516217794672,0.002372269223936396,0.001378370171976159,0.002382875198826384,0.000977402607201635,0.001077402607201635,0.0025428572897978965,0.0023744090605722656,0.0025448228221780595,0.004082854554420453,0.004282854554420453,0.0035513135829558077,0.0023652769580320364,0.0035569408435460964,0.9842356775088343,1.7280298956388345,0.9615890755770279,1.4067816968521878,1.4070637018029453,1.425957401109339,1.00201429999591,1.4262432500421063,1.4675386508217922,1.4681205622322848,1.502523381437678,1.0077436153941812,1.5031191650647056,0.6248943519266915,8.429988982975695,0.31408665799243457,264.58175106441047,265.19169195590905,270.62620937450885,269.67365016144186,271.2500845690176,958.5109254383268,863.0744788812855,996.2623823127869,10155.093080690625,897.0671211185493
